Name,Latitude,Longitude,Pole #,Description,Open Pole Card
Pole 269,38.962929,-121.596492,121574056,"COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (2) BUNDLE OF LINEAR TAIL
HOA = 25'00"" (E/W)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=269
Pole 270,38.962948,-121.595127,121569221,"COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (2) BUNDLE OF LINEAR TAIL
HOA = 25'00"" (E/W)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=270
Pole 271,38.962953,-121.594173,121569222,"COMCAST PL GA HOA = 20'04""
COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (2) BUNDLE OF LINEAR TAIL
HOA = 20'00"" (W)
COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (3) BUNDLE OF LINEAR TAIL
HOA = 20'00"" (E)
TREE TRIM~ 10' (E)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=271
Pole 272,38.962957,-121.593456,120451636,"COMCAST PL GA HOA = 18'04""
COMCAST PL SPLICE CASE, 6.6M
STRAND AND O'LASH (4) BUNDLE OF
LINEAR TAIL HOA = 18'00"" (E)
COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (3) BUNDLE OF LINEAR TAIL
HOA = 18'00"" (W)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=272
Pole 273,38.962957,-121.592737,121569223,"COMCAST PL 6.6M STRAND AND O'LASH
(4) BUNDLE OF LINEAR TAIL HOA = 22'00""
(W)
COMCAST PL 6.6M STRAND AND O'LASH
(3) BUNDLE OF LINEAR TAIL HOA = 22'00""
(E)
COMCAST PL 6.6M STRAND AND O'LASH
(1) BUNDLE OF LINEAR TAIL HOA = 22'00""
(S)
COMCAST PL INS 16M DG AND 1"" TE ANC;
GG; HOA = 22'00"" L = 06'00"" (N)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=273
Pole 274,38.96248,-121.592683,120921669,"COMCAST PL 6.6M STRAND AND O'LASH
(1) BUNDLE OF LINEAR TAIL HOA = 21'00""
(N)
COMCAST PL INS 6M DG AND 1"" TE ANC;
GG; HOA = 21'00"" L = 14'00"" (S)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=274
Pole 275,38.96296,-121.592137,121569224,"COMCAST PL 6.6M STRAND AND O'LASH
(3) BUNDLE OF LINEAR TAIL HOA = 23'00""
(W)
COMCAST PL 6.6M STRAND AND O'LASH
(1) BUNDLE OF LINEAR TAIL HOA = 23'00""
(E)
COMCAST PL 6.6M STRAND AND O'LASH
(1) BUNDLE OF LINEAR TAIL HOA = 22'08""
(N)
COMCAST PL 6.6M STRAND AND O'LASH
(1) BUNDLE OF LINEAR TAIL HOA = 22'08""
(S)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=275
Pole 276,38.963543,-121.592138,121574059,"COMCAST PL 6.6M STRAND AND O'LASH
(1) BUNDLE OF LINEAR TAIL HOA = 23'00""
(S)
COMCAST PL INS 10M DG AND 1"" TE ANC
; GG; HOA = 23'00"" L = 08'00"" (N)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=276
Pole 277,38.962207,-121.592242,121569225,"COMCAST PL 6.6M STRAND AND O'LASH
(1) BUNDLE OF LINEAR TAIL HOA = 23'00""
(N/S)
COMCAST PL INS 10M DG AND 1"" TE ANC;
GG; HOA = 23'00"" L = 04'00"" (NW)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=277
Pole 278,38.961562,-121.592242,121574051,"COMCAST PL 6.6M STRAND AND O'LASH
(1) BUNDLE OF LINEAR TAIL HOA = 24'00""
(N/S)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=278
Pole 279,38.960919,-121.592239,121574052,"COMCAST PL 6.6M STRAND AND O'LASH
(1) BUNDLE OF LINEAR TAIL HOA = 24'00""
(N/S)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=279
Pole 280,38.960611,-121.592238,121568422,"COMCAST PL 6.6M STRAND AND O'LASH
(1) BUNDLE OF LINEAR TAIL HOA = 25'00""
(N/S)
NOTE: COMCAST PL NEW VGR AND
BOND ALL COMMS",https://lagidpress-eng.github.io/MaRe-aggent/?pole=280
